[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/car_1_laser_simulator/hrz_limited] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/car_1_laser_simulator/hrz_laser_range_dgr] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/car_1_laser_simulator/hrz_laser_line_num] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/car_1_laser_simulator/use_resolution_filter] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/obs_manager/use_GroundTruth] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/obs_manager/pre_step] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/obs_manager/step_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/use_presetGoal] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/goal_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/goal_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,998: +PARAM [/globalFsm_by_adsm/goal_yaw] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/manager/init_traj_sample_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/fsm/thresh_replan] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/fsm/thresh_no_replan] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/fsm/static_path] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/max_tau] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/init_max_tau] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/max_vel] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/max_acc] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/omega_max] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/w_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/horizon] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/lambda_heu] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,999: +PARAM [/globalFsm_by_adsm/search/resolution_astar] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/time_resolution] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/margin] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/allocate_num] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/check_num] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/is_consider_omega] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/is_used_VO] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/is_used_DIS] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/search/is_used_adsm] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/sdf_map/resolution] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/sdf_map/map_size_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/sdf_map/map_size_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,000: +PARAM [/globalFsm_by_adsm/sdf_map/map_size_z] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/local_update_range_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/local_update_range_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/local_update_range_z] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/obstacles_inflation] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/local_bound_inflate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/local_map_margin] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/ground_height] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/use_depth_filter] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/depth_filter_tolerance] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/depth_filter_maxdist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/depth_filter_mindist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,001: +PARAM [/globalFsm_by_adsm/sdf_map/depth_filter_margin] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/k_depth_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/skip_pixel] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/p_hit] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/p_miss] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/p_min] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/p_max] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/p_occ] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/min_ray_length] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/max_ray_length] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/esdf_slice_height] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/visualization_truncate_height] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/virtual_ceil_height] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,002: +PARAM [/globalFsm_by_adsm/sdf_map/show_occ_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/globalFsm_by_adsm/sdf_map/show_esdf_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/globalFsm_by_adsm/sdf_map/pose_type] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/globalFsm_by_adsm/sdf_map/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/enabled] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/pedestrian] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/adult] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/child] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/child_like] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/cyclist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/vehicle] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/box] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/beta_bar/unknown] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/mu_weights/bias] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/mu_weights/heading] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,003: +PARAM [/beta_ground_truth_node/semantic_safety/mu_weights/ttc] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/mu_weights/density] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/guard/eta] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/guard/max_delta_beta] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/guard/tau] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/robot/radius] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/cbf/gamma] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_safety/cbf/tau_scale] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/obstacle_classes] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/log_path] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/mpc/pre_step] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/guard/enabled] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/semantic_mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/guard/enable_rate_limit] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,004: +PARAM [/beta_ground_truth_node/guard/enable_available_projection] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/guard/enable_guard_fallback] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/fixed_beta] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/scenario_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/baseline_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/box] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/adult] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/pedestrian] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/child] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/child_like] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/cyclist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/vehicle] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/beta_bar/unknown] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/mu_weights/bias] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,005: +PARAM [/beta_ground_truth_node/mu_weights/heading] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/beta_ground_truth_node/mu_weights/ttc] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/beta_ground_truth_node/mu_weights/density] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/mpc_frequency] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/pre_step] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/step_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/v_max] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/v_min] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/o_max] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/gamma] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/beta_bar_unknown] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/epsilon_max] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/slack_weight] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/max_cbf_obstacles] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,006: +PARAM [/mpc_secbf_node/mpc/feasibility_guard_enabled] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/mpc_secbf_node/planner_log_path] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/mpc_secbf_node/timing_log_path] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/odom_traj_visualization_node/odom_traj_vis/line_width] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/odom_traj_visualization_node/odom_traj_vis/color_r] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/odom_traj_visualization_node/odom_traj_vis/color_g] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/odom_traj_visualization_node/odom_traj_vis/color_b] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/odom_traj_visualization_node/odom_traj_vis/color_a] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,007: +PARAM [/odom_traj_visualization_node/odom_traj_vis/show_odom_size] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:20,153: +PUB [/rosout] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,154: +SERVICE [/scout_1_simulator_node/get_loggers] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,154: +SERVICE [/scout_1_simulator_node/set_logger_level] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,161: +SUB [/cmd_vel1] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,161: publisherUpdate[/rosout] -> http://lxr20:33303/ ['http://localhost:42661/']
[rosmaster.master][INFO] 2026-07-09 16:11:20,161: +PUB [/robot1/odom] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,163: +PUB [/vis_mesh] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,165: publisherUpdate[/rosout] -> http://lxr20:33303/ ['http://localhost:42661/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-09 16:11:20,183: +PUB [/tf] /scout_1_simulator_node http://localhost:42661/
[rosmaster.master][INFO] 2026-07-09 16:11:20,208: +PUB [/rosout] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,209: +SERVICE [/beta_ground_truth_node/get_loggers] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,209: +SERVICE [/beta_ground_truth_node/set_logger_level] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,217: +PUB [/rosout] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,218: +PUB [/rosout] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,218: +SERVICE [/car_1_laser_simulator/get_loggers] /car_1_laser_simulator http://localhost:36015/
