time,obs_id,class,beta_bar,mu,beta_requested,beta_applied,guard_upper_bound,guard_passed,guard_status,d_i,rel_v_norm,ttc,ttc_norm,inv_ttc,cos_delta,rho_i,rho_norm,group_flag,h_ee,h_see,R_base,R_sem
1780837942.765821457,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002306417,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200669757,4.960669757,0.801636660,1.041636660
1780837942.815848351,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002302038,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200665378,4.960665378,0.801636660,1.041636660
1780837942.865656853,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002321555,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200684895,4.960684895,0.801636660,1.041636660
1780837942.915977240,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002226235,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200589574,4.960589574,0.801636660,1.041636660
1780837942.965634584,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002183288,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200546627,4.960546627,0.801636660,1.041636660
1780837943.015531063,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002130442,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200493782,4.960493782,0.801636660,1.041636660
1780837943.065548658,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002029020,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200392360,4.960392360,0.801636660,1.041636660
1780837943.115608215,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002046702,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200410042,4.960410042,0.801636660,1.041636660
1780837943.165231705,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.001962476,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200325815,4.960325815,0.801636660,1.041636660
1780837943.216028690,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.001965266,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200328606,4.960328606,0.801636660,1.041636660
1780837943.265434027,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002055126,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200418465,4.960418465,0.801636660,1.041636660
1780837943.315741301,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002108872,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200472212,4.960472212,0.801636660,1.041636660
1780837943.384876728,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002044645,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200407985,4.960407985,0.801636660,1.041636660
1780837943.415401220,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002033462,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200396802,4.960396802,0.801636660,1.041636660
1780837943.465694904,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002151159,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200514499,4.960514499,0.801636660,1.041636660
1780837943.515259266,0,adult,0.400000000,0.600000000,0.240000000,0.240000000,0.400000000,1,accept,6.002201289,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,5.200564629,4.960564629,0.801636660,1.041636660
1780837943.565458059,0,adult,0.400000000,0.804550440,0.321820176,0.321820176,0.400000000,1,accept,5.928902514,1.222878060,4.848318660,0.030336268,0.206257070,-1.000000000,0.000000000,0.000000000,0,4.882690242,4.560870066,0.801636660,1.123456836
1780837943.615517139,0,adult,0.400000000,0.805746712,0.322298685,0.322298685,0.400000000,1,accept,5.880138302,1.222878060,4.808442423,0.038311515,0.207967552,-0.999999925,0.000000000,0.000000000,0,4.833926049,4.511627364,0.801636660,1.123935345
1780837943.665520668,0,adult,0.400000000,0.799999801,0.319999921,0.319999921,0.400000000,1,accept,5.811893344,1.139856825,5.098797485,0.000000000,0.196124675,-0.999999007,0.000000000,0.000000000,0,4.782285554,4.462285634,0.801636660,1.121636581
1780837943.715153694,0,adult,0.400000000,0.799999457,0.319999783,0.319999783,0.400000000,1,accept,5.766628805,1.139856825,5.059095448,0.000000000,0.197663794,-0.999997283,0.000000000,0.000000000,0,4.737021425,4.417021643,0.801636660,1.121636443
1780837943.765617847,0,adult,0.400000000,0.799998499,0.319999400,0.319999400,0.400000000,1,accept,5.706955912,1.004866683,5.679359099,0.000000000,0.176076206,-0.999992496,0.000000000,0.000000000,0,4.704347479,4.384348079,0.801636660,1.121636060
1780837943.815428734,0,adult,0.400000000,0.799997450,0.319998980,0.319998980,0.400000000,1,accept,5.667354163,1.004866683,5.639978423,0.000000000,0.177305643,-0.999987252,0.000000000,0.000000000,0,4.664746823,4.344747842,0.801636660,1.121635640
1780837943.865574837,0,adult,0.400000000,0.802794597,0.321117839,0.321117839,0.400000000,1,accept,5.600092391,1.141354142,4.906666341,0.018666732,0.203804361,-0.999972937,0.000000000,0.000000000,0,4.570191342,4.249073504,0.801636660,1.122754499
1780837943.915380478,0,adult,0.400000000,0.803964893,0.321585957,0.321585957,0.400000000,1,accept,5.555387746,1.141354142,4.867564420,0.026487116,0.205441554,-0.999959129,0.000000000,0.000000000,0,4.525489987,4.203904029,0.801636660,1.123222617
